train_size,val_acc
random_seed,123
0,0.6131313131313133
2,0.6020202020202021
4,0.7658892128279884
8,0.7152348224513174
train_size,val_acc
random_seed,234
0,0.6151515151515149
2,0.5313131313131313
4,0.7669096209912538
8,0.7893470790378008
train_size,val_acc
random_seed,456
0,0.6141414141414143
2,0.9141414141414141
4,0.6526239067055397
8,0.8067583046964488
train_size,val_acc
random_seed,789
0,0.6141414141414145
2,0.16464646464646449
4,0.5793002915451895
8,0.7254295532646048
train_size,val_acc
random_seed,983
0,0.6141414141414142
2,0.7939393939393938
4,0.8138483965014578
8,0.6214203894616267
