train_size,val_acc
random_seed,123
0,0.7078947368421054
2,0.868421052631579
4,0.8973684210526315
8,0.8364864864864864
16,0.9192857142857142
32,0.8906249999999999
64,0.9269230769230768
177,0.9111111111111111
train_size,val_acc
random_seed,234
0,0.7078947368421055
2,0.5973684210526317
4,0.7526315789473684
8,0.8513513513513512
16,0.9
32,0.8906249999999997
64,0.9153846153846156
128,0.9192307692307694
177,0.7555555555555555
train_size,val_acc
random_seed,456
0,0.7078947368421052
2,0.7412280701754386
4,0.8921052631578945
8,0.8689189189189187
16,0.899285714285714
32,0.9218749999999999
64,0.9269230769230768
128,0.9153846153846156
177,0.9
train_size,val_acc
random_seed,789
0,0.7078947368421054
2,0.857017543859649
4,0.7894736842105263
8,0.862162162162162
16,0.9221428571428572
32,0.9312499999999999
64,0.9346153846153845
128,0.9307692307692309
177,0.9333333333333332
train_size,val_acc
random_seed,983
0,0.7078947368421054
2,0.8228070175438595
4,0.8026315789473684
8,0.8486486486486486
16,0.9314285714285713
32,0.9218749999999999
64,0.9307692307692305
128,0.9076923076923078
177,0.9333333333333332
